NOMBRE_CAMPO,LONGITUD,TIPO,NEMÓNICO,CATÁLOGO,RANGO_CLAVES                                                              
Entidad de registro,2,C,ent_regis,entidad_municipio_localidad_2022,"01..32	"
Municipio o demarcación territorial de registro,3,C,mun_regis,entidad_municipio_localidad_2022,001..570                                                                 
Tamaño de localidad de registro,2,N,tloc_regis,tamaño_localidad,"01..17,99                                                                "
Localidad de registro,4,C,loc_regis,entidad_municipio_localidad_2022,"0001..6999,777,9999                                                       "
Entidad de residencia habitual del (la) fallecido (a),2,C,ent_resid,entidad_municipio_localidad_2022,"01..35,99                                                               "
Municipio o demarcación territorial de residencia habitual del (la) fallecido (a),3,C,mun_resid,entidad_municipio_localidad_2022,"001..570,999                                                            "
Tamaño de localidad de residencia habitual del (la) fallecido (a),2,N,tloc_resid,tamaño_localidad,"01..17,99                                                                "
Localidad de residencia habitual del (la) fallecido (a),4,C,loc_resid,entidad_municipio_localidad_2022,"0001..6999,777,9999                                                       "
Entidad de ocurrencia,2,C,ent_ocurr,entidad_municipio_localidad_2022,"01..32,99                                                                "
Municipio o demarcación territorial de ocurrencia,3,C,mun_ocurr,entidad_municipio_localidad_2022,"001..570,999                                                             "
Tamaño de localidad de ocurrencia,2,N,tloc_ocurr,tamaño_localidad,"01..17,99                                                                "
Localidad de ocurrencia,4,C,loc_ocurr,entidad_municipio_localidad_2022,"0001..6999,777,9999                                                       "
Causa de la defunción (lista detallada),4,C,causa_def,causa_defuncion,A000..Y899                                                                    
Código adicional CIE,4,C,cod_adicio,codigo_adicional,"B950..P75X,S000..T983,Nulo"
Causa de la defunción (lista mexicana),3,C,lista_mex,lista_mexicana,01..61
Sexo del (la) fallecido (a),1,N,sexo,sexo,"1,2,9                                                                   "
Lugar de nacimiento,3,C,ent_nac,entidad_municipio_localidad_2022,"0001..6999,777,9999                                                       "
Condición de autodescripción como persona afromexicana,1,C,afromex,afromexi,"1,2,8,9"
Condición de autodescripción como persona indígena,1,C,conindig,conind,"1,2,8,9"
Condición de habla lengua indígena del (la) fallecido (a),1,N,lengua,lengua_indigena,"1,2,8,9                                                                 "
Clave de la lengua indígena,4,C,cve_lengua,lenguas,"0101..1101, 8000, 8888, 9000, 9010, 9020, 9030"
Nacionalidad del (la) fallecido (a),1,N,nacionalid,nacionalidad,"1,2,9                                                                  "
Nacionalidad extranjera,3,C,nacesp_cve,paises,"001-032,101..535,888,997,998,999,"
Edad del (la) fallecido (a),4,N,edad,edad,"1001..1023,1097,1098,2001..2029,2098,3001..3011,3098,4001..4120,4998   "
Semanas de gestación de las personas fallecidas ,2,N,sem_gest,edadgest,"22..42,88,99"
Peso en gramos de las personas fallecidas con menos de 28 días de edad,4,N,gramos,pesoprod,"14..5000,9999"
Día de ocurrencia,2,N,dia_ocurr,dia,"1..31,99                                                                "
Mes de ocurrencia,2,N,mes_ocurr,mes,"1..12,99                                                               "
Año de ocurrencia,4,N,anio_ocur,año," Año de estadística menos 1, Año de estadística"
Día de registro,2,N,dia_regis,dia,"1..31,99                                                                "
Mes de registro,2,N,mes_regis,mes,"1..12,99	"
Año de registro,4,N,anio_regis,año,Año estadística                                                           
Día de nacimiento del (la) fallecido (a),2,N,dia_nacim,dia,"1..31,99                                                                "
Mes de nacimiento del (la) fallecido (a),2,N,mes_nacim,mes,"1..12,99                                                                "
Año de nacimiento del (la) fallecido (a),4,N,anio_nacim,año,"1900..2022,9999"
Condición de actividad económica del (la) fallecido (a),1,N,cond_act,condicion_actividad,"1,2,8,9                                                                 "
Ocupación del (la) fallecido (a),2,N,ocupacion,ocupacion,"011..100,110,997,998,999                                                      "
Nivel de escolaridad del (la) fallecido (a) (escolaridad),2,N,escolarida,escolaridad,"1..10,88,99                                                            "
Estado conyugal (civil) del (la) fallecido (a),1,N,edo_civil,estado_civil,"1..6,8,9                                                               "
Tipo de defunción (presunto),1,N,presunto,presunta_defuncion_violenta,"1..5,8                                                                  "
Ocurrió en el desempeño de su trabajo,1,N,ocurr_trab,ocurrio_trabajo,"1,2,8,9                                                               "
Sitio de ocurrencia de la lesión,2,N,lugar_ocur,lugar_ocurrencia,"0..9,88                                                               "
Parentesco del presunto agresor,2,N,par_agre,parentesco_agresor,"1..72,88,99                                                          "
Condición de atención médica,1,N,asist_medi,asistencia_medica,"1,2,9                                                                 "
Condición de cirugía practicada a la persona fallecida en las últimas 4 semanas previas al fallecimiento,1,C,cirugia,cirugía,"1,2,8,9                                                               "
La muerte fue accidental o violenta,1,C,natviole,accidental_violenta,"1,2,8                                                           "
Condición de necropsia,1,N,necropsia,necropsia,"1,2,9                                                                 "
Condición de uso de la necropsia para la certificación,1,C,usonecrops,uso_necropsia,"1,2,8,9                                                               "
Condición de muerte encefálica,1,C,encefalica,encefalica,"1,2,8,9                                                               "
Condición de donador(a) de órganos,1,C,donador,donador,"1,2,8,9                                                               "
Sitio de ocurrencia de la defunción,2,N,sitio_ocur,sitio_ocurrencia,"1..12,99                                                                 "
Persona que certificó la defunción,1,N,cond_cert,certificante,"1..5,8,9                                                               "
Afiliación a los servicios de salud (derechohabiencia) del (la) fallecido (a),2,N,derechohab,derechohabiencia,"1..9,99                                                                 "
Condición de embarazo,1,N,embarazo,condicion_embarazo,"1..5,8,9                                                                "
Causas relacionadas con el embarazo,1,N,rel_emba,relacion_con_embarazo,"1,2,8,9                                                                  "
Hora de la defunción,2,N,horas,hora,"0..23,99                                                               "
Minuto de la defunción,2,N,minutos,minuto,"0..59,99                                                               "
Causas detalladas CIE (capítulo),2,N,capitulo,capitulo_grupo,"1..18,20,22"
Causas detalladas CIE (grupo),2,N,grupo,capitulo_grupo,1..35
Lista de tabulación 1 para mortalidad de la CIE,3,C,lista1,lista1,"001..103,903"
Lista mexicana de enfermedades (grupo),3,C,gr_lismex,grupo_lista_mexicana,"01..48,E49..E59"
Área urbana-rural de residencia habitual del (la) fallecido (a),1,N,area_ur,area_urbana_rural,"1,2,9                                                                 "
Edad (agrupada) del (la) fallecido (a),2,C,edad_agru,edad_agrupada,"01..30	"
Complicaron el embarazo,1,N,complicaro,complicaron_embarazo,"1,2,8,9                                                                 "
Día de certificación,2,N,dia_cert,dia,"1..31,99                                                                "
Mes de certificación,2,N,mes_cert,mes,"1..12,99                                                               "
Año de certificación,4,N,anio_cert,año,"20,212,022,999"
Defunciones maternas totales,4,C,maternas,causa_defuncion,"A34X,F53,M830, causas que comienzan con O,B20..B24 y complicaron =1,C58X,D392,E230"
Entidad de ocurrencia de la lesión,2,C,ent_ocules,entidad_municipio_localidad_20212,"01..35,88,99                                                            "
Municipio o demarcación territorial de ocurrencia de la lesión,3,C,mun_ocules,entidad_municipio_localidad_2022,"001..570,888,999                                                       "
Localidad de ocurrencia de la lesión,4,C,loc_ocules,entidad_municipio_localidad_2022,"0001..6999,777,8888,9999                                                  "
Defunciones para calcular la razón de la mortalidad materna,1,N,razon_m,razon_materna,"1,Nulo"
Distritos de registro de Oaxaca,3,N,dis_re_oax,entidad_municipio_localidad_2022,"901..930,999"
